,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,H_GS_H,H_GS_A,H_GR_H,H_GR_A,H_TGS,H_TGR,H_AvGS_H,H_AvGS_A,H_AvGR_H,H_AvGR_A,H_Av_TGS,H_Av_TGR,H_Pnt_H,H_Pnt_A,H_T_pnt,H_Av_Pnt_H,H_Av_pnt_A,H_Av_T_pnt,Aw_GS_H,Aw_GS_A,Aw_GR_H,Aw_GR_A,Aw_TGS,Aw_TGR,Aw_AvGS_H,Aw_AvGS_A,Aw_AvGR_H,Aw_AvGR_A,Aw_Av_TGS,Aw_Av_TGR,Aw_Pnt_H,Aw_Pnt_A,Aw_T_pnt,Aw_Av_Pnt_H,Aw_Av_pnt_A,Aw_Av_T_pnt,DIFF_av_TP,DIFF_av_HP-AP,SUMM_av_HGSH+AGRA,SUMM_av_HGRH+AGSA,SUMM_av_HTGS+ATGR,SUMM_av_HTGR+ATGS
0,13/08/16,Burnley,Swansea,0,1,A,0,0,D,J Moss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13/08/16,Crystal Palace,West Brom,0,1,A,0,0,D,C Pawson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,13/08/16,Everton,Tottenham,1,1,D,1,0,H,M Atkinson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,13/08/16,Hull,Leicester,2,1,H,1,0,H,M Dean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13/08/16,Man City,Sunderland,2,1,H,1,0,H,R Madley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,13/08/16,Middlesbrough,Stoke,1,1,D,1,0,H,K Friend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13/08/16,Southampton,Watford,1,1,D,0,1,A,R East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14/08/16,Arsenal,Liverpool,3,4,A,1,1,D,M Oliver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,14/08/16,Bournemouth,Man United,1,3,A,0,1,A,A Marriner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15/08/16,Chelsea,West Ham,2,1,H,0,0,D,A Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19/08/16,Man United,Southampton,2,0,H,1,0,H,A Taylor,0.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0
11,20/08/16,Burnley,Liverpool,2,0,H,2,0,H,L Mason,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,-3.0,-3.0,3.0,5.0,3.0,5.0
12,20/08/16,Leicester,Arsenal,0,0,D,0,0,D,M Clattenburg,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
13,20/08/16,Stoke,Man City,1,4,A,0,2,A,M Dean,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,-2.0,0.0,0.0,0.0,2.0,3.0
14,20/08/16,Swansea,Hull,0,2,A,0,0,D,S Attwell,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0
15,20/08/16,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0
16,20/08/16,Watford,Chelsea,1,2,A,0,0,D,J Moss,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,3.0,0.0,3.0,-2.0,0.0,0.0,0.0,2.0,3.0
17,20/08/16,West Brom,Everton,1,2,A,1,1,D,N Swarbrick,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0
18,21/08/16,Sunderland,Middlesbrough,1,2,A,0,2,A,M Atkinson,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,2.0,3.0
19,21/08/16,West Ham,Bournemouth,1,0,H,0,0,D,C Pawson,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0
20,27/08/16,Chelsea,Burnley,3,0,H,2,0,H,M Clattenburg,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,6.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.5,0.0,1.0,0.5,3.0,0.0,3.0,1.5,0.0,1.5,1.5,3.0,2.0,1.0,2.5,2.0
21,27/08/16,Crystal Palace,Bournemouth,1,1,D,0,1,A,M Dean,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,0.0,3.0,1.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.5
22,27/08/16,Everton,Stoke,1,0,H,0,0,D,M Oliver,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.5,1.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,1.0,1.0,4.0,1.0,1.0,2.5,0.0,1.0,1.0,0.0,1.0,0.5,1.5,0.0,2.0,2.0,4.0,2.0
23,27/08/16,Hull,Man United,0,1,A,0,0,D,J Moss,2.0,2.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,0.5,3.0,3.0,6.0,3.0,3.0,3.0,2.0,3.0,0.0,1.0,5.0,1.0,2.0,3.0,0.0,1.0,2.5,0.5,3.0,3.0,6.0,3.0,3.0,3.0,0.0,0.0,3.0,4.0,2.5,3.0
24,27/08/16,Leicester,Swansea,2,1,H,1,0,H,R East,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.5,1.0,0.0,3.0,3.0,0.0,3.0,1.5,-1.0,-2.0,0.0,1.0,1.5,1.5
25,27/08/16,Southampton,Sunderland,1,1,D,0,0,D,L Mason,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,0.5,1.5,1.0,0.0,1.0,1.0,0.0,0.5,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.0,2.0,2.5,2.5
26,27/08/16,Tottenham,Liverpool,1,1,D,0,1,A,R Madley,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,1.0,4.0,3.0,1.0,2.0,0.0,4.0,0.0,5.0,4.0,5.0,0.0,2.0,0.0,2.5,2.0,2.5,0.0,3.0,3.0,0.0,1.5,1.5,0.5,1.5,3.5,2.0,3.5,2.5
27,27/08/16,Watford,Arsenal,1,3,A,0,3,A,K Friend,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.5,0.0,1.0,1.0,0.0,1.0,0.5,3.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,1.5,2.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,-1.0,1.0,2.0,3.0,3.0
28,28/08/16,Man City,West Ham,3,1,H,2,0,H,A Marriner,2.0,4.0,1.0,1.0,6.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,6.0,3.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,1.5,1.5,3.0,4.0,2.0,4.0,2.0
29,28/08/16,West Brom,Middlesbrough,0,0,D,0,0,D,A Taylor,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,3.0,1.5,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.5,1.0,1.0,3.0,4.0,1.0,3.0,2.0,-0.5,-3.0,2.0,4.0,2.0,2.5
30,10/09/16,Arsenal,Southampton,2,1,H,1,1,D,R Madley,3.0,3.0,4.0,1.0,6.0,5.0,3.0,1.5,4.0,0.5,2.0,1.66666666667,0.0,4.0,4.0,0.0,2.0,1.33333333333,2.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,0.666666666667,1.33333333333,2.0,0.0,2.0,1.0,0.0,0.666666666667,0.666666666667,0.0,5.0,4.0,3.33333333333,2.33333333333
31,10/09/16,Bournemouth,West Brom,1,0,H,0,0,D,K Friend,1.0,1.0,3.0,2.0,2.0,5.0,1.0,0.5,3.0,1.0,0.666666666667,1.66666666667,0.0,1.0,1.0,0.0,0.5,0.333333333333,1.0,1.0,2.0,0.0,2.0,2.0,0.5,1.0,1.0,0.0,0.666666666667,0.666666666667,1.0,3.0,4.0,0.5,3.0,1.33333333333,-1.0,-3.0,1.0,4.0,1.33333333333,2.33333333333
32,10/09/16,Burnley,Hull,1,1,D,0,0,D,P Tierney,2.0,0.0,1.0,3.0,2.0,4.0,1.0,0.0,0.5,3.0,0.666666666667,1.33333333333,3.0,0.0,3.0,1.5,0.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,1.0,2.0,1.0,0.0,1.33333333333,0.666666666667,3.0,3.0,6.0,1.5,3.0,2.0,-1.0,-1.5,1.0,2.5,1.33333333333,2.66666666667
